NIST STS 2.1.2 Test Results

Generator,MyRNG
Stream Length,"1,000,000"
Number of Streams,100
Total Tests,15
Tests Passed,14
Tests Failed,1
Tests Not Run,0
Overall Result,FAIL

Test Name,Status,P-Value,Proportion,Pass Rate,Mean P-Value,Min P-Value,Max P-Value,Notes
Frequency,Pass,0.437274,1.0000,100/100,0.516128,0.123456,0.987654,
Block Frequency,Pass,0.534146,0.9900,99/100,0.548419,0.234567,0.876543,
Cumulative Sums,Pass,0.662200,1.0000,200/200,0.591103,0.345678,0.765432,
Runs,Pass,0.851383,0.9800,98/100,0.654164,0.456789,0.851383,
Longest Run,Pass,0.920383,1.0000,100/100,0.677161,0.543210,0.920383,
Rank,Pass,0.534146,1.0000,100/100,0.548385,0.432109,0.678901,
Fft,Pass,0.437274,1.0000,100/100,0.515795,0.321098,0.789012,
Non Overlapping Template,Pass,0.739918,1.0000,200/200,0.613676,0.210987,0.890123,
Overlapping Template,Pass,0.066882,0.9600,96/100,0.359331,0.066882,0.901234,
Universal,Fail,0.333333,0.0000,0/100,0.333333,0.000000,0.987655,* FAILED
Approximate Entropy,Pass,0.534146,1.0000,100/100,0.511382,0.123450,0.876550,
Random Excursions,Pass,0.550000,1.0000,4/4,0.550000,0.500000,0.600000,
Random Excursions Variant,Pass,0.550000,1.0000,4/4,0.550000,0.400000,0.700000,
Serial,Pass,0.350485,0.9900,198/200,0.450162,0.234560,0.765440,
Linear Complexity,Pass,0.739918,1.0000,100/100,0.579973,0.345670,0.739918,
