		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   28   18   30   24   15   20   30   24  9.518132 0.300487 SUCCESS   0
000000011   24   22   30   23   24   20   28   34  6.944354 0.542648 SUCCESS   1
000000101   32   21   22   27   28   22   20   20  5.900412 0.658386 SUCCESS   2
000000111   18   26   25   30   19   25   28   28  5.536985 0.698939 SUCCESS   3
000001001   21   22   25   21   29   35   21   19  8.620487 0.375315 SUCCESS   4
000001011   26   21   25   30   26   30   16   18  8.103481 0.423428 SUCCESS   5
000001101   21   28   16   23   34   24   28   34 12.477843 0.131123 SUCCESS   6
000001111   21   37   31   33   22   27   26   26 12.945863 0.113726 SUCCESS   7
000010001   21   27   28   24   25   19   28   20  3.951544 0.861469 SUCCESS   8
000010011   19   31   21   29   22   27   30   19  7.561981 0.477382 SUCCESS   9
000010101   32   30   29   29   24   37   25   26 12.430181 0.133018 SUCCESS  10
000010111   18   22   23   29   24   31   21   24  5.307278 0.724285 SUCCESS  11
000011001   33   24   27   23   29   19   19   21  7.366697 0.497634 SUCCESS  12
000011011   27   27   11   25   29   30   31   30 13.596589 0.092905 SUCCESS  13
000011101   24   20   22   23   22   28   28   35  7.257471 0.509126 SUCCESS  14
000011111   19   32   30   25   17   24   21   27  8.129298 0.420943 SUCCESS  15
000100011   31   30   33   19   25   19   25   18 10.544862 0.228845 SUCCESS  16
000100101   20   25   26   13   24   32   20   14 14.303584 0.074188 SUCCESS  17
000100111   23   36   28   31   31   28   23   20 11.479578 0.175977 SUCCESS  18
000101001   28   19   24   28   27   25   21   26  3.240577 0.918365 SUCCESS  19
000101011   26   18   20   20   21   30   30   26  6.739141 0.565021 SUCCESS  20
000101101   26   20   26   23   21   23   12   26  8.313328 0.403477 SUCCESS  21
000101111   25   24   32   24   32   24   31   26  6.886762 0.548898 SUCCESS  22
000110011   33   23   25   30   29   26   27   19  7.089328 0.527026 SUCCESS  23
000110101   19   21   23   22   33   29   17   30  9.730627 0.284444 SUCCESS  24
000110111   25   29   19   24   31   30   38   35 17.929247 0.021763 SUCCESS  25
000111001   15   16   23   21   24   22   26   21  8.151143 0.418847 SUCCESS  26
000111011   21   24   26   18   25   27   25   27  2.943348 0.937862 SUCCESS  27
000111101   16   18   20   33   20   24   34   19 14.643841 0.066452 SUCCESS  28
000111111   29   28   31   24   13   18   27   21 11.314745 0.184495 SUCCESS  29
001000011   22   18   28   26   24   19   24   22  4.128292 0.845367 SUCCESS  30
001000101   20   17   19   27   29   20   30   26  7.814858 0.451761 SUCCESS  31
001000111   25   27   26   23   21   15   30   21  6.543856 0.586547 SUCCESS  32
001001011   18   23   21   12   19   28   20   19 12.657902 0.124175 SUCCESS  33
001001101   21   23   23   27   23   33   25   27  4.461268 0.813295 SUCCESS  34
001001111   24   31   25   25   24   25   25   21  2.410455 0.965776 SUCCESS  35
001010011   21   20   17   23   23   14   16   23 11.445817 0.177695 SUCCESS  36
001010101   33   20   30   34   21   27   30   24 11.301505 0.185194 SUCCESS  37
001010111   26   24   23   20   23   33   27   20  5.341701 0.720508 SUCCESS  38
001011011   21   23   24   21   21   27    5   27 18.073559 0.020682 SUCCESS  39
001011101   31   26   20   23   29   21   20   23  5.146417 0.741818 SUCCESS  40
001011111   25   16   31   19   29   22   28   24  7.781759 0.455074 SUCCESS  41
001100101   32   25   24   19   17   21   22   32  9.205015 0.325298 SUCCESS  42
