test,status,passed,total,p_value,proportion
frequency,pass,10,10,0.035174,1.0
block_frequency,pass,10,10,0.739918,1.0
cumulative_sums,pass,20,20,0.213309,1.0
runs,pass,10,10,0.739918,1.0
longest_run,pass,10,10,0.350485,1.0
rank,fail,0,10,0.0,0.0
fft,pass,10,10,0.911413,1.0
non_overlapping_template,pass,1464,1480,0.350485,0.9891891891891892
overlapping_template,pass,10,10,0.739918,1.0
universal,fail,0,10,0.0,0.0
approximate_entropy,pass,10,10,0.534146,1.0
random_excursions,pass,24,24,,1.0
random_excursions_variant,pass,54,54,,1.0
serial,pass,20,20,0.911413,1.0
linear_complexity,fail,0,10,0.0,0.0
